Date,ABB.ST,ALFA.ST,ASSA-B.ST,ATCO-A.ST,ATCO-B.ST,AZN.ST,BOL.ST,ELUX-B.ST,ERIC-B.ST,ESSITY-B.ST,EVO.ST,GETI-B.ST,HEXA-B.ST,HM-B.ST,INVE-B.ST,KINV-B.ST,NDA-SE.ST,NIBE-B.ST,SAAB-B.ST,SAND.ST,SBB-B.ST,SCA-B.ST,SEB-A.ST,SHB-A.ST,SINCH.ST,SKF-B.ST,SWED-A.ST,TEL2-B.ST,TELIA.ST,VOLV-B.ST
2024-02-29,476.9697265625,383.4561462402344,290.40875244140625,177.08802795410156,152.24632263183594,1325.484375,256.6168212890625,88.5999984741211,53.04075622558594,227.33021545410156,1338.586669921875,201.2981719970703,121.21907806396484,135.01214599609375,256.0436096191406,109.6500015258789,124.1913833618164,57.16732406616211,202.66201782226562,227.24708557128906,2.8814616203308105,140.8280029296875,148.11985778808594,110.56004333496094,25.969999313354492,210.06881713867188,194.52859497070312,81.53379821777344,22.76328468322754,265.77490234375
2024-03-31,493.7682800292969,414.0578308105469,301.91107177734375,178.1224822998047,155.49082946777344,1450.2945556640625,290.754150390625,95.62000274658203,54.37078094482422,246.9634552001953,1327.8092041015625,211.30422973632812,126.56330871582031,167.80877685546875,264.15557861328125,119.94999694824219,118.40363311767578,52.0026741027832,236.32318115234375,231.93057250976562,3.3233120441436768,160.49676513671875,142.33120727539062,102.09943389892578,26.854999542236328,210.14178466796875,194.27609252929688,82.45307922363281,25.30997085571289,279.6719055175781
2024-04-30,543.2848510742188,473.6000061035156,292.6413879394531,193.96287536621094,166.08050537109375,1668.9620361328125,368.1000061035156,97.31999969482422,54.28667068481445,266.78271484375,1232.0,235.0,116.75,169.8946075439453,267.793701171875,116.5,127.7408447265625,51.052852630615234,218.87742614746094,222.6999969482422,3.1644973754882812,158.29884338378906,142.67489624023438,90.71522521972656,25.520000457763672,221.20187377929688,194.3675994873047,96.71117401123047,23.758161544799805,273.2127380371094
2024-05-31,574.6320190429688,485.20001220703125,304.7438659667969,199.2721710205078,171.7817840576172,1640.50537109375,366.79998779296875,99.77999877929688,62.35918045043945,261.8279113769531,1128.0,187.0,115.19999694824219,181.84642028808594,283.2843322753906,121.44999694824219,128.13816833496094,53.380001068115234,252.5087127685547,230.5,4.028542995452881,157.1266326904297,146.455322265625,93.03545379638672,23.059999465942383,220.52865600585938,199.5836944580078,99.47994232177734,25.629844665527344,271.8630676269531
2024-06-30,587.01123046875,464.1000061035156,297.2046203613281,197.68434143066406,169.69956970214844,1658.47802734375,339.1000061035156,87.86000061035156,63.53722381591797,263.6737976074219,1104.0,180.0500030517578,119.6500015258789,164.25942993164062,289.06158447265625,86.94999694824219,125.25753784179688,44.939998626708984,254.1031036376953,212.39999389648438,5.39300012588501,152.92616271972656,153.67254638671875,95.21420288085938,25.700000762939453,204.65982055664062,199.5836944580078,103.45526123046875,26.739686965942383,261.3548889160156
2024-07-31,593.7997436523438,473.0,323.2943420410156,189.1497802734375,166.1300811767578,1693.924072265625,326.6000061035156,95.33999633789062,70.74068450927734,292.7226257324219,1037.5,208.89999389648438,109.0,162.88775634765625,302.60821533203125,89.66000366210938,124.71121215820312,47.0099983215332,246.23089599609375,219.1999969482422,6.794000148773193,142.22964477539062,162.0189666748047,102.0522689819336,28.959999084472656,191.33961486816406,208.6431884765625,106.84883117675781,29.739234924316406,263.47576904296875
2024-08-31,586.2125854492188,459.8999938964844,328.4527893066406,184.73362731933594,161.8169403076172,1781.612060546875,314.0,98.68000030517578,73.8885726928711,302.7294006347656,1066.5,213.60000610351562,105.0,159.21359252929688,304.15216064453125,81.56999969482422,120.39027404785156,50.63999938964844,241.49758911132812,218.3000030517578,6.927000045776367,139.250244140625,155.14544677734375,99.8829574584961,29.739999771118164,186.8194122314453,200.7733154296875,112.9572525024414,30.41751480102539,262.80096435546875
2024-09-30,584.4155883789062,487.6000061035156,338.86883544921875,194.95526123046875,172.32711791992188,1569.83642578125,344.5,98.54000091552734,74.08170318603516,307.8785095214844,998.0,218.8000030517578,109.19999694824219,169.30528259277344,311.3238830566406,82.58000183105469,118.80096435546875,55.65999984741211,215.14060974121094,226.89999389648438,7.324999809265137,144.52523803710938,152.44512939453125,98.32670593261719,30.540000915527344,194.27294921875,197.02139282226562,111.4059066772461,31.372838973999023,258.55914306640625
2024-10-31,592.0028076171875,469.8999938964844,330.2383728027344,175.39999389648438,154.5500030517578,1518.890380859375,330.79998779296875,89.19999694824219,87.45906829833984,292.2368469238281,1005.0,187.64999389648438,99.58000183105469,155.04954528808594,300.2674560546875,75.58000183105469,123.86688995361328,51.439998626708984,219.10000610351562,209.0,5.6579999923706055,137.589599609375,147.73184204101562,104.50454711914062,31.68000030517578,193.5997314453125,197.84498596191406,111.6500015258789,30.03983497619629,266.7535705566406
2024-11-30,618.5580444335938,464.29998779296875,334.8999938964844,174.14999389648438,154.10000610351562,1469.44287109375,325.3999938964844,81.5199966430664,87.16419219970703,291.6539611816406,952.0,170.4499969482422,92.94000244140625,151.25,299.25,75.79000091552734,122.52590942382812,46.220001220703125,238.85000610351562,201.6999969482422,3.8605000972747803,138.41990661621094,148.76287841796875,107.05113220214844,19.94499969482422,201.48605346679688,195.64874267578125,114.44999694824219,31.000411987304688,261.8369140625
2024-12-31,594.3988037109375,462.6000061035156,326.79998779296875,168.85000610351562,149.4499969482422,1444.96875,310.5,91.9000015258789,88.34368133544922,287.28204345703125,852.7999877929688,181.5500030517578,105.5999984741211,149.10000610351562,292.70001220703125,73.73999786376953,119.49629211425781,43.2400016784668,233.6999969482422,198.3000030517578,4.5304999351501465,137.19883728027344,148.71377563476562,107.71135711669922,20.729999542236328,199.6587371826172,199.76670837402344,109.25,29.758455276489258,258.9447326660156
2025-01-31,606.178955078125,495.70001220703125,340.6000061035156,186.1999969482422,165.75,1564.34228515625,333.3999938964844,101.0,82.42658233642578,272.9033508300781,853.5999755859375,218.10000610351562,129.60000610351562,148.1999969482422,316.29998779296875,87.80000305175781,130.96913146972656,44.59000015258789,240.4499969482422,230.0,5.627999782562256,149.26296997070312,154.16351318359375,115.8227310180664,23.610000610351562,216.20079040527344,220.99705505371094,123.3499984741211,31.660202026367188,295.6752014160156
2025-02-28,573.43408203125,464.5,329.29998779296875,182.75,159.9499969482422,1622.0,376.0,91.76000213623047,86.65308380126953,288.05926513671875,823.0,213.0,122.44999694824219,144.14999389648438,319.75,86.88999938964844,140.25665283203125,40.2400016784668,319.54998779296875,232.6999969482422,4.10099983215332,143.9879608154297,169.53076171875,127.18807220458984,23.700000762939453,222.9330291748047,236.37075805664062,127.5999984741211,34.47352600097656,321.02978515625
2025-03-31,514.2000122070312,428.8999938964844,299.8999938964844,159.39999389648438,140.35000610351562,1459.0,327.29998779296875,81.73999786376953,77.68000030517578,285.3999938964844,746.0,215.8000030517578,106.6500015258789,131.85000610351562,298.3500061035156,70.44000244140625,127.69999694824219,37.93000030517578,393.6499938964844,210.0,3.380000114440918,129.18865966796875,161.52801513671875,113.1500015258789,20.899999618530273,194.46530151367188,227.89999389648438,135.5500030517578,35.74412155151367,282.66046142578125
2025-04-30,481.1000061035156,383.20001220703125,268.1000061035156,141.60000610351562,126.05000305175781,1325.0,279.1000061035156,70.0199966430664,70.66000366210938,274.8999938964844,758.2000122070312,188.1999969482422,92.83999633789062,125.05000305175781,265.54998779296875,65.62000274658203,114.0,33.79999923706055,400.45001220703125,177.9499969482422,3.364000082015991,123.44999694824219,132.5,104.4000015258789,17.584999084472656,167.9499969482422,201.1999969482422,127.75,33.64616012573242,236.8000030517578
